Data,Periodo,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1,1
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,8
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,91
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,Outras,4
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,9
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,164
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,Outras,6
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1,19
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1.28,326
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1.33,89
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,Outras,24
2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1,1
2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,10
2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,2
2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,Outras,2
2020-04-01,Abr 2020,Sul,Paraná,Outros,B.1.1,1
2020-04-01,Abr 2020,Sul,Paraná,Outros,B.1.1.28,4
2020-04-01,Abr 2020,Sul,Paraná,Outros,B.1.1.33,3
2020-04-01,Abr 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1,1
2020-04-01,Abr 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,4
2020-04-01,Abr 2020,Sul,Rio Grande do Sul,Outros,B.1.1,3
2020-04-01,Abr 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,1
2020-04-01,Abr 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,19
2020-04-01,Abr 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.28,1
2020-04-01,Abr 2020,Sul,Santa Catarina,Outros,B.1.1.28,1
2020-04-01,Abr 2020,Sul,Santa Catarina,Outros,B.1.1.33,2
2020-05-01,Mai 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,1
2020-05-01,Mai 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,4
2020-05-01,Mai 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,3
2020-05-01,Mai 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.28,1
2020-05-01,Mai 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.33,3
2020-05-01,Mai 2020,Nordeste,Bahia,Outros,B.1.1,1
2020-05-01,Mai 2020,Nordeste,Bahia,Outros,B.1.1.28,11
2020-05-01,Mai 2020,Nordeste,Bahia,Outros,B.1.1.33,8
2020-05-01,Mai 2020,Nordeste,Bahia,Outros,Outras,4
2020-05-01,Mai 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,2
2020-05-01,Mai 2020,Nordeste,Ceará,FIOCRUZ,Outras,7
2020-05-01,Mai 2020,Nordeste,Maranhão,Outros,B.1.1.33,4
2020-05-01,Mai 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,3
2020-05-01,Mai 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,2
2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,30
2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,2
2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,4
2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,Outras,1
2020-05-01,Mai 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,1
2020-05-01,Mai 2020,Nordeste,Rio Grande do Norte,Outros,Outras,4
2020-05-01,Mai 2020,Norte,Acre,FIOCRUZ,B.1.1.33,1
2020-05-01,Mai 2020,Norte,Acre,Outros,B.1.1.33,2
2020-05-01,Mai 2020,Norte,Amapá,Outros,B.1.1.33,8
2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,B.1.1,1
2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,8
2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,6
2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,Outras,11
2020-05-01,Mai 2020,Norte,Amazonas,Outros,Outras,2
2020-05-01,Mai 2020,Norte,Pará,Outros,B.1.1,3
2020-05-01,Mai 2020,Norte,Pará,Outros,B.1.1.28,6
2020-05-01,Mai 2020,Norte,Pará,Outros,B.1.1.33,2
2020-05-01,Mai 2020,Norte,Pará,Outros,Outras,1
2020-05-01,Mai 2020,Norte,Pará,Outros,P.1+P.1.* (Gama),2
2020-05-01,Mai 2020,Norte,Pará,Outros,P.2,1
2020-05-01,Mai 2020,Norte,Rondônia,Outros,B.1.1.33,5
2020-05-01,Mai 2020,Norte,Rondônia,Outros,Outras,2
2020-05-01,Mai 2020,Norte,Roraima,Outros,B.1.1.33,1
2020-05-01,Mai 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,3
2020-05-01,Mai 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,2
2020-05-01,Mai 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,4
2020-05-01,Mai 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,3
2020-05-01,Mai 2020,Sudeste,Minas Gerais,Outros,Outras,1
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1,1
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,12
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,FIOCRUZ,Outras,2
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,1
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,2
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,60
2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,Outras,6
2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,B.1.1,3
2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,B.1.1.28,118
2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,B.1.1.33,23
2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,Outras,4
2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,P.2,1
2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,3
2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,11
2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,Outras,2
2020-05-01,Mai 2020,Sul,Paraná,Outros,B.1.1.33,1
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1,3
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.28,1
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,24
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,3
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,B.1.1,6
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,6
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,29
2020-05-01,Mai 2020,Sul,Rio Grande do Sul,Outros,Outras,3
2020-05-01,Mai 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,2
2020-05-01,Mai 2020,Sul,Santa Catarina,FIOCRUZ,Outras,1
2020-05-01,Mai 2020,Sul,Santa Catarina,Outros,B.1.1.28,3
2020-06-01,Jun 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,9
2020-06-01,Jun 2020,Centro-oeste,Goiás,Outros,B.1.1.28,1
2020-06-01,Jun 2020,Centro-oeste,Goiás,Outros,B.1.1.33,2
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso,FIOCRUZ,B.1.1.28,1
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.28,1
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,5
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,1
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,3
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,1
2020-06-01,Jun 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,2
2020-06-01,Jun 2020,Nordeste,Bahia,Outros,B.1.1.28,7
2020-06-01,Jun 2020,Nordeste,Bahia,Outros,B.1.1.33,6
2020-06-01,Jun 2020,Nordeste,Bahia,Outros,Outras,1
2020-06-01,Jun 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,2
2020-06-01,Jun 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,5
2020-06-01,Jun 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,1
2020-06-01,Jun 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,2
2020-06-01,Jun 2020,Nordeste,Pernambuco,FIOCRUZ,P.1+P.1.* (Gama),1
2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,B.1.1,36
2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,B.1.1.28,3
2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,B.1.1.33,5
2020-06-01,Jun 2020,Nordeste,Pernambuco,Outros,Outras,3
2020-06-01,Jun 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1,1
2020-06-01,Jun 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.28,4
2020-06-01,Jun 2020,Nordeste,Rio Grande do Norte,Outros,Outras,2
2020-06-01,Jun 2020,Norte,Acre,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,Norte,Acre,Outros,B.1.1.33,2
2020-06-01,Jun 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,10
2020-06-01,Jun 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,Norte,Amazonas,FIOCRUZ,Outras,5
2020-06-01,Jun 2020,Norte,Pará,Outros,B.1.1.28,4
2020-06-01,Jun 2020,Norte,Pará,Outros,B.1.1.33,4
2020-06-01,Jun 2020,Norte,Rondônia,Outros,B.1.1.33,1
2020-06-01,Jun 2020,Norte,Roraima,Outros,B.1.1.33,2
2020-06-01,Jun 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,8
2020-06-01,Jun 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,8
2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,24
2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,2
2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,5
2020-06-01,Jun 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,44
2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1,2
2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1.28,85
2020-06-01,Jun 2020,Sudeste,São Paulo,Outros,B.1.1.33,25
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1,3
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,24
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,64
2020-06-01,Jun 2020,Sul,Paraná,FIOCRUZ,Outras,2
2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1,3
2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1.28,5
2020-06-01,Jun 2020,Sul,Paraná,Outros,B.1.1.33,12
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.28,1
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,FIOCRUZ,Outras,3
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1,4
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,21
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,47
2020-06-01,Jun 2020,Sul,Rio Grande do Sul,Outros,Outras,12
2020-06-01,Jun 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.28,1
2020-06-01,Jun 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1,2
2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1.28,11
2020-06-01,Jun 2020,Sul,Santa Catarina,Outros,B.1.1.33,10
2020-07-01,Jul 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,2
2020-07-01,Jul 2020,Centro-oeste,Goiás,Outros,B.1.1.28,5
2020-07-01,Jul 2020,Centro-oeste,Goiás,Outros,B.1.1.33,2
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso,Outros,B.1.1.33,1
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1,2
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,6
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,6
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,Outras,4
2020-07-01,Jul 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,1
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1,3
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.28,41
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,B.1.1.33,15
2020-07-01,Jul 2020,Nordeste,Bahia,FIOCRUZ,Outras,4
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1,2
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1.28,16
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,B.1.1.33,6
2020-07-01,Jul 2020,Nordeste,Bahia,Outros,Outras,7
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,B.1.1,1
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,B.1.1.28,1
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,B.1.1.33,2
2020-07-01,Jul 2020,Nordeste,Ceará,Outros,Outras,2
2020-07-01,Jul 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,1
2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,8
2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,4
2020-07-01,Jul 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,4
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1,20
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1.28,2
2020-07-01,Jul 2020,Nordeste,Pernambuco,Outros,B.1.1.33,4
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1,6
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.28,3
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,B.1.1.33,2
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,Outras,1
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1,2
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.28,3
2020-07-01,Jul 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,2
2020-07-01,Jul 2020,Nordeste,Sergipe,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,Nordeste,Sergipe,FIOCRUZ,Outras,1
2020-07-01,Jul 2020,Norte,Acre,FIOCRUZ,B.1.1.28,2
2020-07-01,Jul 2020,Norte,Acre,FIOCRUZ,B.1.1.33,50
2020-07-01,Jul 2020,Norte,Acre,FIOCRUZ,Outras,2
2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,6
2020-07-01,Jul 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,5
